Net1_Parameters,Net2_Parameters
[1.83178746],[-1.88117433]
[-0.51023842],[1.98366083]
[-4.54650803],[3.31492689]
[-0.21956852],[2.15746097]
[5.54862224],[2.88194027]
[-1.16094753],[2.84477498]
[1.92226649],[-1.13609707]
[3.29015714],[0.56068365]
[3.56674872],[-4.81593369]
[-0.46014834],[3.1256092]
[0.7737087],[-0.15224506]
[-0.20069741],[-3.27734278]
[2.00230926],[1.06892794]
[4.80947428],[4.47911764]
[-0.12964543],[3.27816492]
[2.8656992],[0.70321969]
[-0.81163022],[2.51635613]
[-4.03906161],[-2.68144572]
[0.00472766],[2.20732036]
[-2.0435264],[1.18303066]
[-5.66704651],[3.47973811]
[1.93268136],[6.11275325]
[2.56252663],[-0.31998572]
[1.02978507],[2.51254508]
[-0.16234063],[4.49068007]
[-2.9765497],[-2.01396606]
[1.56408865],[0.89685958]
[-0.48088736],[-2.74990777]
[3.67152978],[-2.34609424]
[3.60159262],[4.29349554]
[0.4459714],[-0.41896925]
[-4.23365983],[5.32956855]
[0.57058315],[-5.5388829]
[-1.94149295],[-1.59466315]
[-0.76801691],[-1.98055711]
[-1.69580869],[0.34955976]
[-1.17248738],[-2.15467389]
[-0.82789545],[-3.1948883]
[-4.58153182],[-1.44082377]
[-0.9755201],[1.86491139]
[2.45472666],[-0.69675958]
[2.28910697],[0.79175311]
[4.330021],[-3.36686752]
[-2.80246093],[2.30353276]
[4.45784075],[-0.28009508]
[3.62574585],[-1.58663012]
[1.6969086],[0.34514285]
[5.69267448],[3.72404296]
[0.03143027],[1.04050449]
[3.5653433],[0.53924645]
[7.570933],[1.83315971]
[0.23715228],[-1.32818819]
[1.71995233],[-0.12597549]
